epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,178.976,1.45814,1.14089,1.11281,0.76164,0.67144,0.74904,0.39289,1.43965,0.90574,1.12388,2.85413e-05,0.000285413,2.85413e-05,0.000285413,2.85413e-05,0.000285413
2,351.207,1.35335,0.81181,1.05655,0.76717,0.69299,0.76503,0.40958,1.42128,0.84334,1.11421,5.42938e-05,0.000542938,5.42938e-05,0.000542938,5.42938e-05,0.000542938
3,521.161,1.30665,0.75722,1.03714,0.77878,0.70511,0.77907,0.42365,1.39562,0.85202,1.11231,7.72169e-05,0.000772169,7.72169e-05,0.000772169,7.72169e-05,0.000772169
4,691.288,1.27018,0.71675,1.02146,0.78703,0.68462,0.76228,0.39482,1.4705,0.85553,1.13872,9.73105e-05,0.000973105,9.73105e-05,0.000973105,9.73105e-05,0.000973105
5,860.086,1.23866,0.68761,1.00769,0.78324,0.69972,0.76876,0.41104,1.4285,0.84377,1.12097,0.000114575,0.00114575,0.000114575,0.00114575,0.000114575,0.00114575
6,1029.89,1.21062,0.66053,0.99597,0.77491,0.68617,0.74813,0.40051,1.42797,0.81643,1.12439,0.000107532,0.00107532,0.000107532,0.00107532,0.000107532,0.00107532
7,1198.04,1.16895,0.62399,0.97727,0.7969,0.69299,0.76016,0.40951,1.41818,0.79273,1.11878,0.000100459,0.00100459,0.000100459,0.00100459,0.000100459,0.00100459
8,1366.65,1.13497,0.59751,0.96564,0.79524,0.69723,0.77099,0.41484,1.43224,0.77855,1.12572,9.33851e-05,0.000933851,9.33851e-05,0.000933851,9.33851e-05,0.000933851
9,1534.69,1.10273,0.57533,0.95234,0.78975,0.6953,0.75471,0.39692,1.4727,0.78925,1.15028,8.63116e-05,0.000863116,8.63116e-05,0.000863116,8.63116e-05,0.000863116
10,1702.64,1.06476,0.54958,0.94008,0.77884,0.69859,0.75213,0.40039,1.49159,0.79434,1.15156,7.92381e-05,0.00079238,7.92381e-05,0.00079238,7.92381e-05,0.00079238
11,1871.22,1.03365,0.53091,0.92935,0.77314,0.7018,0.74789,0.39979,1.46281,0.77529,1.14418,7.21645e-05,0.000721645,7.21645e-05,0.000721645,7.21645e-05,0.000721645
12,2037.62,0.99658,0.5097,0.91765,0.78253,0.70696,0.7553,0.39654,1.47982,0.78277,1.16122,6.5091e-05,0.000650909,6.5091e-05,0.000650909,6.5091e-05,0.000650909
13,2204.79,0.95916,0.48936,0.90618,0.80172,0.68844,0.75171,0.39412,1.506,0.78725,1.16979,5.80174e-05,0.000580174,5.80174e-05,0.000580174,5.80174e-05,0.000580174
14,2371.67,0.92404,0.47413,0.89745,0.8006,0.68968,0.75697,0.39759,1.49113,0.77005,1.16894,5.09439e-05,0.000509438,5.09439e-05,0.000509438,5.09439e-05,0.000509438
15,2538.79,0.89142,0.45585,0.88787,0.79852,0.69834,0.74986,0.38995,1.5186,0.78684,1.18597,4.38703e-05,0.000438703,4.38703e-05,0.000438703,4.38703e-05,0.000438703
16,2705.1,0.85356,0.43889,0.87826,0.79784,0.69813,0.75121,0.39291,1.50934,0.78564,1.1877,3.67968e-05,0.000367967,3.67968e-05,0.000367967,3.67968e-05,0.000367967
17,2871.7,0.81278,0.4225,0.86858,0.80405,0.69569,0.75064,0.39675,1.50103,0.78389,1.18999,2.97232e-05,0.000297232,2.97232e-05,0.000297232,2.97232e-05,0.000297232
18,3039.81,0.78164,0.40891,0.86176,0.79118,0.69662,0.74369,0.3914,1.50719,0.78984,1.19935,2.26497e-05,0.000226497,2.26497e-05,0.000226497,2.26497e-05,0.000226497
19,3209.25,0.74499,0.39472,0.85433,0.78685,0.69694,0.74086,0.38764,1.51615,0.7909,1.20406,1.55761e-05,0.000155761,1.55761e-05,0.000155761,1.55761e-05,0.000155761
20,3377.57,0.71127,0.3819,0.84783,0.79775,0.7004,0.74469,0.38978,1.51215,0.79737,1.20705,8.50255e-06,8.50255e-05,8.50255e-06,8.50255e-05,8.50255e-06,8.50255e-05
